minute,c_uf,c_aver,v_buf,m_fp,price,q_uf_actual,q_fp_actual,total_energy_cost,fp_busy
175,0.7178843624986103,0.7178843624986103,0.0,0.4682307981658571,0.46,2.623196601867676,2.623196601867676,0.00036228716452885764,False
176,0.7181759150573197,0.7181759150573197,0.0,0.4886316634167307,0.46,0.7670013904571533,0.7670013904571533,0.0003640251118202275,False
177,0.7184663132388324,0.7184663132388324,0.0,0.509050868660656,0.46,0.7670013904571533,0.7670013904571533,0.0003657630591115973,False
178,0.7187556314037061,0.7187556314037061,0.0,0.5294883637329496,0.46,0.7670013904571533,0.7670013904571533,0.00036750100640296714,False
179,0.7190439322812363,0.7190439322812363,0.0,0.5499441022651417,0.46,0.7670013904571533,0.7670013904571533,0.00036923895369433697,False
180,0.7193312687862918,0.7193312687862918,0.0,0.5704180410787886,0.46,0.7670013904571533,0.7670013904571533,0.0003709769009857068,False
181,0.7196081775777045,0.7196081775777045,0.0,0.5977648343286204,0.46,1.0235967636108398,1.0235967636108398,0.00037510770755892807,False
182,0.7198846796475993,0.7198846796475993,0.0,0.6251350453877808,0.46,1.0235967636108398,1.0235967636108398,0.00037923851413214935,False
183,0.7201607644936571,0.7201607644936571,0.0,0.6525286609827229,0.46,1.0235967636108398,1.0235967636108398,0.0003833693207053706,False
184,0.7204364213295715,0.7204364213295715,0.0,0.6799456668553943,0.46,1.0235967636108398,1.0235967636108398,0.0003875001272785919,False
185,0.7207116393754551,0.7207116393754551,0.0,0.7073860477602627,0.46,1.0235967636108398,1.0235967636108398,0.00039163093385181317,False
186,0.7209140726829149,0.7209140726829149,0.0,0.78774566664471,0.46,2.995741844177246,2.995741844177246,0.000495183604544169,False
187,0.7211198592610114,0.7211198592610114,0.0,0.8681565156602384,0.46,2.995741844177246,2.995741844177246,0.0005987362752365249,False
188,0.721328637271228,0.721328637271228,0.0,0.9486193763825288,0.46,2.995741844177246,2.995741844177246,0.0007022889459288807,False
189,0.7215400850811461,0.7215400850811461,0.0,1.0291349518108073,0.46,2.995741844177246,2.995741844177246,0.0008058416166212366,False
190,0.7217539158523021,0.7217539158523021,0.0,1.1097038748425512,0.46,2.995741844177246,2.995741844177246,0.0009093942873135924,False
191,0.7219698729576445,0.7219698729576445,0.0,1.1903267156283523,0.46,2.995741844177246,2.995741844177246,0.0010129469580059483,False
192,0.7221877260934627,0.7221877260934627,0.0,1.2710039879771449,0.46,2.995741844177246,2.995741844177246,0.001116499628698304,False
193,0.7224072679731182,0.7224072679731182,0.0,1.3517361549543296,0.46,2.995741844177246,2.995741844177246,0.00122005229939066,False
194,0.7226283115086253,0.7226283115086253,0.0,1.4325236337922573,0.46,2.995741844177246,2.995741844177246,0.0013236049700830158,False
195,0.722850687381636,0.722850687381636,0.0,1.5133668002082787,0.46,2.995741844177246,2.995741844177246,0.0014271576407753716,False
196,0.7230457355841817,0.7230457355841817,0.0,1.6160111579222827,0.46,3.8013131618499756,3.8013131618499756,0.0016387252094994887,False
197,0.7232433773752031,0.7232433773752031,0.0,1.7187184057413938,0.46,3.8013131618499756,3.8013131618499756,0.0018502927782236057,False
198,0.7234433382449355,0.7234433382449355,0.0,1.821489325043297,0.46,3.8013131618499756,3.8013131618499756,0.0020618603469477227,False
199,0.7236453715041412,0.7236453715041412,0.0,1.924324620139481,0.46,3.8013131618499756,3.8013131618499756,0.0022734279156718397,False
200,0.7238492548325435,0.7238492548325435,0.0,2.027224925848381,0.46,3.8013131618499756,3.8013131618499756,0.0024849954843959568,False
201,0.7240345619016338,0.7240345619016338,0.0,2.145934374594503,0.46,4.382811546325684,4.382811546325684,0.0028092653104036507,False
202,0.7242224579829134,0.7242224579829134,0.0,2.2647129918543065,0.46,4.382811546325684,4.382811546325684,0.0031335351364113447,False
203,0.7244126701947523,0.7244126701947523,0.0,2.3835616757821336,0.46,4.382811546325684,4.382811546325684,0.0034578049624190386,False
204,0.7246049528880097,0.7246049528880097,0.0,2.5024812356748187,0.46,4.382811546325684,4.382811546325684,0.0037820747884267326,False
205,0.7247990844911986,0.7247990844911986,0.0,2.621472400636854,0.46,4.382811546325684,4.382811546325684,0.004106344614434427,False
206,0.7249435385834373,0.7249435385834373,0.0,2.7812753645453583,0.46,5.883399963378906,5.883399963378906,0.004890736816582429,False
207,0.7250923997532865,0.7250923997532865,0.0,2.9411521149538977,0.46,5.883399963378906,5.883399963378906,0.005675129018730431,False
208,0.725245214894895,0.725245214894895,0.0,3.101104651100238,0.46,5.883399963378906,5.883399963378906,0.006459521220878434,False
209,0.725401579614413,0.725401579614413,0.0,3.2611347746377213,0.46,5.883399963378906,5.883399963378906,0.007243913423026436,False
210,0.7255611317193846,0.7255611317193846,0.0,3.4212441102346087,0.46,5.883399963378906,5.883399963378906,0.00802830562517444,False
211,0.7257309053184594,0.7257309053184594,0.0,3.5754545810862597,0.46,5.663656234741211,5.663656234741211,0.008728049012357996,False
212,0.725902823428328,0.725902823428328,0.0,3.7297473105190653,0.46,5.663656234741211,5.663656234741211,0.009427792399541553,False
213,0.7260766626558269,0.7260766626558269,0.0,3.88412326734832,0.46,5.663656234741211,5.663656234741211,0.01012753578672511,False
214,0.726252219497207,0.726252219497207,0.0,4.038583324570851,0.46,5.663656234741211,5.663656234741211,0.010827279173908667,False
215,0.7264293080937303,0.7264293080937303,0.0,4.193128267608062,0.46,5.663656234741211,5.663656234741211,0.011527022561092224,False
216,0.7266128990632829,0.7266128990632829,0.0,4.343508802927036,0.46,5.507903575897217,5.507903575897217,0.012170609368682434,False
217,0.7267974053986667,0.7267974053986667,0.0,4.49397545578689,0.46,5.507903575897217,5.507903575897217,0.012814196176272644,False
218,0.7269827121542376,0.7269827121542376,0.0,4.644528655039511,0.46,5.507903575897217,5.507903575897217,0.013457782983862854,False
